,0,1,2
0,--g-a85VwrdZJNf0R95GcQ,"['food' 'falafel' 'great' 'hummus' 'gyro' 'pita' 'family' 'restaurant'
 'eastern' 'fresh']","[0.4244528392093279 0.26952161926053986 0.23251103497558415
 0.209627926091531 0.209627926091531 0.17968107950702655
 0.17517430947988055 0.16978113568373118 0.14973423292252214
 0.1329377076508377]"
1,-050d_XIor1NpCuWkbIVaQ,"['breakfast' 'matt' 'wait' 'food' 'bacon' 'place' 'eggs' 'good' 'hash'
 'browns']","[0.41558990105309357 0.3828046348824173 0.2464361575992639
 0.19223816911145497 0.18237062716800456 0.18234476662972637
 0.17707822700311038 0.16512179766769824 0.15274470652943745
 0.14394459998041634]"
2,-0WegMt6Cy966qlDKhu6jA,"['game' 'food' 'beer' 'drinks' 'bar' 'place' 'stadium' 'service' 'table'
 'seven']","[0.4468410544556942 0.2507177976903425 0.21241791312894745
 0.17101751852578825 0.17101751852578825 0.17040421522172425
 0.15134045481593408 0.13734071077571805 0.12555864340077358
 0.11110959309230216]"
3,-0aIra_B6iALlfqAriBSYA,"['tea' 'teas' 'place' 'loose' 'coffee' 'tea2go' 'leaf' 'love' 'great'
 'bar']","[0.6079162845386868 0.35908636458390586 0.1710468301150045
 0.14959911278219876 0.14333448935734852 0.12068832715747524
 0.11969545486130195 0.11403872519457199 0.11155228050978554
 0.10785611499879928]"
4,-0tgMGl7D9B10YjSN2ujLA,"['irish' 'bar' 'dubliner' 'food' 'place' 'good' 'great' 'music' 'beer'
 'time']","[0.3735722876883012 0.3024180048817424 0.2735082820575062
 0.2512348453988383 0.22690686166425764 0.22444048273312442
 0.18744479876612588 0.15845358025858297 0.1267628642068664
 0.125785325487795]"
5,-1UMR00eXtwaeh59pEiDjA,"['breakfast' 'airport' 'food' 'matt' 'bacon' 'good' 'service' 'great'
 'flight' 'eggs']","[0.37953196820412943 0.37811580414366625 0.30268962077600714
 0.24578828094064117 0.19401447628345422 0.16549362327347744
 0.15599159705681848 0.14332222876793982 0.135392849251587
 0.13220713515154967]"
6,-2isRNVb6PDuBagELL5EBw,"['taco' 'drive' 'bell' 'order' 'food' 'service' 'fixed' 'time' 'customer'
 'window']","[0.33242501205795716 0.27166827763467283 0.26614816323568435
 0.24039245096468503 0.2131510989393065 0.19460341268569742
 0.123847813930524 0.11447259569746907 0.11447259569746907
 0.11031512068640059]"
7,-3vXcKzJA_kVZDM8Yn3w_Q,"['burrito' 'chile' 'carne' 'asada' 'green' 'food' 'missing' 'fili' 'cat'
 'hotdog']","[0.5113720282085673 0.2988844426501551 0.29282430549308486
 0.24402025457757073 0.17839611701117444 0.1394928092428909
 0.12327800692097968 0.11482071977945411 0.11482071977945411
 0.11482071977945411]"
8,-45kMvS7h38CGaWugPY0rg,"['roland' 'food' 'bianco' 'good' 'great' 'quesadilla' 'tortillas'
 'colorado' 'tacos' 'like']","[0.25610461919143523 0.23047042290001474 0.18747450124394566
 0.18674390514685457 0.1709627300640218 0.15118911390640777
 0.14228034399524178 0.13909398479389518 0.13756351346393123
 0.13413998820407863]"
9,-8JaNeG3etLgOVyg2gOIiA,"['italian' 'fontanella' 'food' 'place' 'la' 'pasta' 'sauce' 'chicken'
 'good' 'bread']","[0.36209966782610375 0.235795868350905 0.20945643661179533
 0.19685466639237623 0.1760330885157491 0.1745837684161572
 0.15943402977006116 0.1451911150814154 0.14342268551444554
 0.12606411656237393]"
